["port 1","LEFT"]
["port 2","BOTTOM"]
("port 1","mode 1",1,"port 1",1,"transmission")
(200, 3)
1.9156067603833869e+14 4.9420210257592641e-03 -2.4535836920025305e+00
1.9158269667636984e+14 4.9299190629022351e-03 -2.4387484042883445e+00
1.9160471731440097e+14 4.9177921229968244e-03 -2.4238705883641760e+00
1.9162673795243212e+14 4.9056435085316000e-03 -2.4089500937830666e+00
1.9164875859046325e+14 4.8934765247745423e-03 -2.3939867790848584e+00
1.9167077922849441e+14 4.8812944787822833e-03 -2.3789805120687149e+00
1.9169279986652553e+14 4.8691006783913192e-03 -2.3639311700703525e+00
1.9171482050455669e+14 4.8568984311769094e-03 -2.3488386402415302e+00
1.9173684114258781e+14 4.8446910434084625e-03 -2.3337028198278924e+00
1.9175886178061897e+14 4.8324818189628199e-03 -2.3185236164525937e+00
1.9178088241865009e+14 4.8202740582304979e-03 -2.3033009483975366e+00
1.9180290305668125e+14 4.8080710569905075e-03 -2.2880347448869127e+00
1.9182492369471241e+14 4.7958761052760771e-03 -2.2727249463690304e+00
1.9184694433274353e+14 4.7836924862046546e-03 -2.2573715048006391e+00
1.9186896497077469e+14 4.7715234747944448e-03 -2.2419743839278286e+00
1.9189098560880581e+14 4.7593723367657546e-03 -2.2265335595669775e+00
1.9191300624683697e+14 4.7472423273024157e-03 -2.2110490198850079e+00
1.9193502688486809e+14 4.7351366898173552e-03 -2.1955207656751909e+00
1.9195704752289925e+14 4.7230586546808586e-03 -2.1799488106319864e+00
1.9197906816093038e+14 4.7110114379357217e-03 -2.1643331816231339e+00
1.9200108879896153e+14 4.6989982399936589e-03 -2.1486739189553448e+00
1.9202310943699266e+14 4.6870222443095126e-03 -2.1329710766390302e+00
1.9204513007502381e+14 4.6750866160433528e-03 -2.1172247226460663e+00
1.9206715071305494e+14 4.6631945006994678e-03 -2.1014349391623477e+00
1.9208917135108609e+14 4.6513490227521924e-03 -2.0856018228346369e+00
1.9211119198911725e+14 4.6395532842539115e-03 -2.0697254850111655e+00
1.9213321262714838e+14 4.6278103634317591e-03 -2.0538060519728036e+00
1.9215523326517953e+14 4.6161233132655790e-03 -2.0378436651584422e+00
1.9217725390321066e+14 4.6044951600521340e-03 -2.0218384813814105e+00
1.9219927454124181e+14 4.5929289019636067e-03 -2.0057906730349746e+00
1.9222129517927294e+14 4.5814275075869238e-03 -1.9897004282890776e+00
1.9224331581730409e+14 4.5699939144592822e-03 -1.9735679512766597e+00
