["port 1","LEFT"]
["port 2","LEFT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(200, 3)
1.9156067603833869e+14 9.2452067200853288e-03 -1.6250154481524617e+00
1.9158269667636984e+14 9.3572125695754547e-03 -1.5827336525835012e+00
1.9160471731440097e+14 9.4665440393438965e-03 -1.5406134432669294e+00
1.9162673795243212e+14 9.5731109454706958e-03 -1.4986431210219029e+00
1.9164875859046325e+14 9.6768254823929260e-03 -1.4568116200245795e+00
1.9167077922849441e+14 9.7776021819026612e-03 -1.4151084576878421e+00
1.9169279986652553e+14 9.8753578828152441e-03 -1.3735236880210495e+00
1.9171482050455669e+14 9.9700117102986680e-03 -1.3320478581841551e+00
1.9173684114258781e+14 1.0061485063960896e-02 -1.2906719679679011e+00
1.9175886178061897e+14 1.0149701613859519e-02 -1.2493874319502616e+00
1.9178088241865009e+14 1.0234587303702454e-02 -1.2081860440962915e+00
1.9180290305668125e+14 1.0316070360565161e-02 -1.1670599445830516e+00
1.9182492369471241e+14 1.0394081310504550e-02 -1.1260015886496770e+00
1.9184694433274353e+14 1.0468552999540347e-02 -1.0850037172826845e+00
1.9186896497077469e+14 1.0539420619490585e-02 -1.0440593295626426e+00
1.9189098560880581e+14 1.0606621738219203e-02 -1.0031616565093129e+00
1.9191300624683697e+14 1.0670096333884339e-02 -9.6230413627311739e-01
1.9193502688486809e+14 1.0729786832844104e-02 -9.2148039053042097e-01
1.9195704752289925e+14 1.0785638150860205e-02 -8.8068420194918939e-01
1.9197906816093038e+14 1.0837597737331296e-02 -8.3990949260092973e-01
1.9200108879896153e+14 1.0885615622292125e-02 -7.9915030319999336e-01
1.9202310943699266e+14 1.0929644465940584e-02 -7.5840077305802600e-01
1.9204513007502381e+14 1.0969639610490542e-02 -7.1765512064848913e-01
1.9206715071305494e+14 1.1005559134192143e-02 -6.7690762467828058e-01
1.9208917135108609e+14 1.1037363907348765e-02 -6.3615260556979292e-01
1.9211119198911725e+14 1.1065017650221160e-02 -5.9538440725914454e-01
1.9213321262714838e+14 1.1088486992728066e-02 -5.5459737921799701e-01
1.9215523326517953e+14 1.1107741535848753e-02 -5.1378585861036674e-01
1.9217725390321066e+14 1.1122753914696490e-02 -4.7294415249611238e-01
1.9219927454124181e+14 1.1133499863236848e-02 -4.3206651999336115e-01
1.9222129517927294e+14 1.1139958280652272e-02 -3.9114715431244368e-01
1.9224331581730409e+14 1.1142111299368918e-02 -3.5018016457489243e-01
1.9226533645533522e+14 1.1139944354829283e-02 -3.0915955732888495e-01
1.9228735709336638e+14 1.1133446257061093e-02 -2.6807921767012688e-01
1.9230937773139750e+14 1.1122609264182988e-02 -2.2693288987856453e-01
1.9233139836942866e+14 1.1107429157976714e-02 -1.8571415747555864e-01
1.9235341900745981e+14 1.1087905321704346e-02 -1.4441642260466606e-01
1.9237543964549094e+14 1.1064040820395271e-02 -1.0303288463604762e-01
1.9239746028352209e+14 1.1035842483844897e-02 -6.1556517887996848e-02
1.9241948092155322e+14 1.1003320992618660e-02 -1.9980048362044974e-02
1.9244150155958438e+14 1.0966490967408111e-02 2.1704070629521999e-02
1.9246352219761550e+14 1.0925371062116999e-02 6.3503684056219492e-02
1.9248554283564666e+14 1.0879984061109358e-02 1.0542696210807952e-01
1.9250756347367778e+14 1.0830356981139643e-02 1.4748242861193595e-01
1.9252958411170894e+14 1.0776521178484180e-02 1.8967899105942229e-01
1.9255160474974006e+14 1.0718512461932349e-02 2.3202597238732589e-01
1.9257362538777122e+14 1.0656371212307197e-02 2.7453314466023676e-01
1.9259564602580238e+14 1.0590142509303567e-02 3.1721076480395838e-01
1.9261766666383350e+14 1.0519876266495202e-02 3.6006961254901887e-01
1.9263968730186466e+14 1.0445627375476520e-02 4.0312103074308203e-01
1.9266170793989578e+14 1.0367455860171857e-02 4.4637696818959716e-01
1.9268372857792694e+14 1.0285427042498074e-02 4.8985002518038323e-01
1.9270574921595806e+14 1.0199611720630919e-02 5.3355350186958639e-01
1.9272776985398922e+14 1.0110086361301694e-02 5.7750144964169081e-01
1.9274979049202034e+14 1.0016933307648234e-02 6.2170872560544621e-01
1.9277181113005150e+14 9.9202410042830459e-03 6.6619105032598291e-01
1.9279383176808262e+14 9.8201042414196773e-03 7.1096506887938149e-01
1.9281585240611378e+14 9.7166244200080493e-03 7.5604841526745303e-01
1.9283787304414491e+14 9.6099098400079467e-03 8.0145978018142294e-01
1.9285989368217606e+14 9.5000760140716341e-03 8.4721898202002732e-01
1.9288191432020722e+14 9.3872460090445101e-03 8.9334704097667184e-01
1.9290393495823834e+14 9.2715508178265963e-03 9.3986625588329409e-01
1.9292595559626950e+14 9.1531297642480757e-03 9.8680028333152203e-01
1.9294797623430062e+14 9.0321309436634505e-03 1.0341742183980260e+00
1.9296999687233178e+14 8.9087117019935620e-03 1.0820146760340736e+00
1.9299201751036291e+14 8.7830391559033400e-03 1.1303498718650513e+00
1.9301403814839406e+14 8.6552907565945018e-03 1.1792097007483597e+00
1.9303605878642519e+14 8.5256548994253976e-03 1.2286258109472470e+00
1.9305807942445634e+14 8.3943315811180631e-03 1.2786316711856631e+00
1.9308010006248747e+14 8.2615331054875681e-03 1.3292626271227648e+00
1.9310212070051862e+14 8.1274848377232006e-03 1.3805559429277370e+00
1.9312414133854978e+14 7.9924260057484126e-03 1.4325508225966399e+00
1.9314616197658091e+14 7.8566105453142243e-03 1.4852884044507724e+00
1.9316818261461206e+14 7.7203079829517929e-03 1.5388117208625816e+00
1.9319020325264319e+14 7.5838043476508937e-03 1.5931656136501644e+00
1.9321222389067434e+14 7.4474030979801804e-03 1.6483965938347247e+00
1.9323424452870547e+14 7.3114260461482677e-03 1.7045526325237590e+00
1.9325626516673662e+14 7.1762142540947975e-03 1.7616828677213316e+00
1.9327828580476775e+14 7.0421288688963706e-03 1.8198372099197213e+00
1.9330030644279891e+14 6.9095518555412011e-03 1.8790658276309258e+00
1.9332232708083003e+14 6.7788865744274418e-03 1.9394184927975586e+00
1.9334434771886119e+14 6.6505581388181202e-03 2.0009437656596814e+00
1.9336636835689231e+14 6.5250134744226232e-03 2.0636879996112354e+00
1.9338838899492347e+14 6.4027209896834721e-03 2.1276941494360644e+00
1.9341040963295462e+14 6.2841697523684480e-03 2.1930003717570288e+00
1.9343243027098575e+14 6.1698680570915609e-03 2.2596384152805919e+00
1.9345445090901691e+14 6.0603412613929762e-03 2.3276318111632581e+00
1.9347647154704803e+14 5.9561287675798892e-03 2.3969938910413355e+00
1.9349849218507919e+14 5.8577800366942587e-03 2.4677256820597879e+00
1.9352051282311031e+14 5.7658495427986159e-03 2.5398137539894456e+00
1.9354253346114147e+14 5.6808906134820760e-03 2.6132281217320670e+00
1.9356455409917259e+14 5.6034481579010729e-03 2.6879203344552911e+00
