["port 1","LEFT"]
["port 2","LEFT"]
["port 3","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(200, 3)
1.9156067603833869e+14 3.8939604943789653e-02 -2.9602707937099098e+00
1.9158269667636984e+14 3.8899589347309332e-02 -2.9472012357806796e+00
1.9160471731440097e+14 3.8859520229955501e-02 -2.9341297971544429e+00
1.9162673795243212e+14 3.8819401570047499e-02 -2.9210564717548722e+00
1.9164875859046325e+14 3.8779237308248247e-02 -2.9079812544012675e+00
1.9167077922849441e+14 3.8739031346622911e-02 -2.8949041408245120e+00
1.9169279986652553e+14 3.8698787547720895e-02 -2.8818251276825868e+00
1.9171482050455669e+14 3.8658509733671784e-02 -2.8687442125762601e+00
1.9173684114258781e+14 3.8618201685306136e-02 -2.8556613940645525e+00
1.9175886178061897e+14 3.8577867141285777e-02 -2.8425766716799390e+00
1.9178088241865009e+14 3.8537509797265744e-02 -2.8294900459439369e+00
1.9180290305668125e+14 3.8497133305065032e-02 -2.8164015183817295e+00
1.9182492369471241e+14 3.8456741271861036e-02 -2.8033110915376778e+00
1.9184694433274353e+14 3.8416337259405416e-02 -2.7902187689895537e+00
1.9186896497077469e+14 3.8375924783258762e-02 -2.7771245553637089e+00
1.9189098560880581e+14 3.8335507312044964e-02 -2.7640284563491777e+00
1.9191300624683697e+14 3.8295088266726229e-02 -2.7509304787118767e+00
1.9193502688486809e+14 3.8254671019899371e-02 -2.7378306303092783e+00
1.9195704752289925e+14 3.8214258895113880e-02 -2.7247289201035070e+00
1.9197906816093038e+14 3.8173855166208921e-02 -2.7116253581754921e+00
1.9200108879896153e+14 3.8133463056670890e-02 -2.6985199557382149e+00
1.9202310943699266e+14 3.8093085739019407e-02 -2.6854127251498268e+00
1.9204513007502381e+14 3.8052726334202605e-02 -2.6723036799267450e+00
1.9206715071305494e+14 3.8012387911026603e-02 -2.6591928347561637e+00
1.9208917135108609e+14 3.7972073485597876e-02 -2.6460802055084574e+00
1.9211119198911725e+14 3.7931786020793563e-02 -2.6329658092493720e+00
1.9213321262714838e+14 3.7891528425749166e-02 -2.6198496642518072e+00
1.9215523326517953e+14 3.7851303555371370e-02 -2.6067317900072000e+00
1.9217725390321066e+14 3.7811114209872182e-02 -2.5936122072369066e+00
1.9219927454124181e+14 3.7770963134327810e-02 -2.5804909379029199e+00
1.9222129517927294e+14 3.7730853018255191e-02 -2.5673680052185448e+00
